SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
,,,MANISH,24/10/2022,B/93,24/10/2022,,,,,,,
204,KKR/TS/204,ORISON ,COIL CUT,13-03/2023,,,,,,,,,
,,,MANISH,07/04/2023,GUARD NEAR D9,09/04/2023,,,,,,,
205,KKR/TS/205,ORISON ,COIL CUT,13-03/2023,,,,,,,,,
,,,MANISH,07/04/2023,B/232,0704/2023,,,,,,,
206,KKR/TS/206,BAJAJ ,COIL CUT,14/03/2023,,,,NA,,,,,
207,KKR/TS/207,ORISON ,COIL CUT,17/03/2023,,,,,,,,,
,,,MANISH,04/04/2023,B/193,08/05/2023,23/05/2024,,,,,,
208,KKR/TS/208,KHAITAN ,COIL CUT,17/03/2023,,,,NA,,,,,
209,KKR/TS/209,USHA ,MADAN JHA,15/05/2023,,,,,,,,,
,,,MANISH,30/05/2023,ML/14,30/05/2023,,,,,,,
210,KKR/TS/210,GANESH ,COIL CUT,19/03/2023,,,,,,,,,
,,,MANISH,03/06/2023,,,,NA,,,,,
,,BAJAJ,MANISH,26/04/2023,SSM,28/04/2023,,,,,,,
211,KKR/TS/211,BAJAJ ,MADAN JHA,15/05/2023,,,,,,,,,
,,,MANISH,10/06/2023,,,,NA,,,,,
,,,MANISH,17/05/2023,,,,,,,,,
,,ORISON ,MANISH ,04/04/2023,C/29,05/04/2023,10/06/2023,,,,,,
212,KKR/TS/212,BAJAJ ,COIL CUT,22/03/2023,,,,,,,,,
,,,MANISH,15/06/2023,C/09,25/06/2023,,,,,,,
213,KKR/TS/213,GANESH ,COIL CUT,22/03/2023,,,,,,,,,
,,,MANISH,25/06/2023,,,,,,,,,
,,ORIENT ,MANISH ,27/04/2023,SSM,28/04/2023,,,,,,,
,,,,,,,,,,,,,
214,KKR/TS/214,GANESH ,COIL CUT,22/03/2023,,,,,,,,,
,,,MANISH ,09/04/2023,,,,NA,,,,,
215,KKR/TS/215,BAJAJ ,COIL CUT,25/03/2023,,,,NA,,,,,
,,GEC,MANISH ,13/05/2023,MC/22,22/05/2023,16/06/2023,,,,,,
,,,,,,,,,,,,,
216,KKR/TS/216,ORTEM ,COIL CUT,25/03/2023,,,,IT MAY BE ORIENT,,,,,
,,,MANISH ,26/04/2023,,,,NA,,,,,
217,KKR/TS/217,ORTEM ,COIL CUT,25/03/2024,,,,,,,,,
,,,MANISH ,03/06/2023,MV/11,24/10/2023,,,,,,,
,,GANESH(B),MANISH ,11/06/2023,MH/28,12/06/2023,15/03/2024,,,,,,
,,,,,,,,,,,,,
218,KKR/TS/218,GANESH ,COIL CUT,25/03/2023,,,,,,,,,
,,,MANISH ,25/06/2023,MV/12,05/07/2023,,,,,,,
,,USHA ,MANISH ,26/04/2023,MU/27,30/04/2023,,,,,,,
,,,,,,,,,,,,,
219,KKR/TS/219,GANESH ,COIL CUT,25/03/2023,,,,,,,,,
,,,MANISH,18/06/2023,MP/34,18/06/2023,,,,,,,
220,KKR/TS/220,GANESH ,COIL CUT,25/03/2023,,,,,,,,,
,,,MANISH,30/05/2023,ML/14,30/05/2023,,,,,,,
,,GANESH ,COIL CUT,,,,,,,,,,
221,KKR/TS/221,GANESH (B),COIL CUT,25/03/2023,EXCHANGE ,18/06/2023,,,,,,,
,,,MANISH,18/06/2023,TS/EM,18/06/2023,,,,,,,
,,,MANISH,01/10/2023,,,,,,,,,
222,KKR/TS/222,GEC,COIL CUT,25/03/2023,,,,NA,,,,,
,,ORIENT ,MANISH,15/06/2023,,,,NA,,,,,
223,KKR/TS/223,ORIENT ,COIL CUT,25/03/2023,,,,,,,,,
,,,,,MV/40,01/07/2023,,,,,,,
224,KKR/TS/224,ACTION,COIL CUT,25/03/2023,,,,,,,,,
,,,MANISH,03/06/2023,,,,NA,,,,,
225,KKR/TS/225,GEC,COIL CUT,25/03/2023,,,,NA,,,,,
226,KKR/TS/226,ORISON ,COIL CUT,27/03/2023,,,,,,,,,
,,,MANISH,29/07/2023,,,,NA,,,,,
227,KKR/TS/227,BAJAJ BAHAR,COIL CUT,10/04/2023,,,,NA,,,,,
228,KKR/TS/228,BAJAJ ,MANISH,30/07/2023,ML/38,15/08/2023,,,,,,,
229,KKR/TS/229,BAJAJ ,MANISH,30/07/2023,MD/28,14/08/2023,,,,,,,
230,KKR/TS/230,ORISON ,MANISH,30/07/2023,,,,,,,,,
231,KKR/TS/231,ORISON ,MANISH,29/07/2023,,,,NA,,,,,
232,KKR/TS/232,BAJAJ ,MANISH,30/07/2023,MI/32,20/11/2023,,,,,,,
233,KKR/TS/233,BAJAJ ,MANISH,30/07/2023,,,,NA,,,,,
234,KKR/TS/234,GEC,,,,,,NA,,,,,
235,KKR/TS/235,GANESH ,MANISH,09/08/2023,POST/O,10/08/2023,,,,,,,
236,KKR/TS/236,GANESH ,MANISH,09/08/2023,POST/O,10/08/2023,,,,,,,
237,KKR/TS/237,USHA ,,,,,,NA,,,,,
238,KKR/TS/238,GEC,,,,,,NA,,,,,
,,,,,,,,,,,,,
239,KKR/TS/239,MAHINDRA,MANISH,02/08/2023,B/316,06/08/2023,,,,,,,
240,KKR/TS/240,ZOLTA ,MANISH,02/08/2023,ME/14,06/08/2023,,,,,,,
241,KKR/TS/241,VARMAX,,,,,,,,,,,
,,,MANISH,02/08/2023,,,,NA,,,,,
242,KKR/TS/242,ORIENT ,,,,,,NA,,,,,
243,KKR/TS/243,LUXMIC,COIL CUT,25/04/2023,,,,NA,,,,,
244,KKR/TS/244,REMSON,COIL CUT,25/04/2023,,,,NA,,,,,
245,KKR/TS/245,KHAITAN ,COIL CUT,27/04/2023,,,,NA,,,,,
246,KKR/TS/246,GEC GOLDLINE ,,,,,,NA,,,,,
247,KKR/TS/247,BERLIA,MANISH,08/06/2023,MB/20,09/06/2023,,NA,,,,,
248,KKR/TS/248,ORTEM ,29/06/2023,,,,,NA,,,,,
249,KKR/TS/249,ORISON ,,,,,,NA,,,,,
250,KKR/TS/250,BAJAJ,MANISH,29/09/2023,B/295,01/10/2023,,,,,,,
251,KKR/TS/251,GEC,,,,,,NA,,,,,
252,KKR/TS/252,BAJAJ,,,B/242,16/09/2023,,,,,,,
253,KKR/TS/253,GANESH (B),MANISH,09/09/2023,,,,NA,,,,,
254,KKR/TS/254,ORIENT,MANISH,10/10/2023,,,,NA,,,,,
255,KKR/TS/255,GEC,,,,,,NA,,,,,
256,KKR/TS/256,ORIENT ,MANISH,16/10/2023,,,,NA,,,,,
257,KKR/TS/257,GANESH ,,,,,,NA,,,,,
258,KKR/TS/258,GANESH ,,,,,,NA,,,,,
259,KKR/TS/259,brown ,,,,,,NA,,,,,
260,KKR/TS/260,BAJAJ ,,,,,,NA,,,,,
261,KKR/TS/261,KHAITAN ,,,,,,NA,,,,,
262,KKR/TS/262,BAJAJ ,NEERAJ ,26/02/2024,MP/35,27/02/2024,,,,,,,
263,KKR/TS/263,ORISON ,,,,,,NA,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
264,KKR/TS/264,ORTEM ,,,,,,,,,,,
265,KKR/TS/265,ORIENT (B),,,,,,,,,,,
266,KKR/TS/266,ORISON ,,,,,,,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
267,KKR/TS/267,ORIENT (B),,,,,,,,,,,
268,KKR/TS/268,,,,,,,,,,,,
269,KKR/TS/269,,,,,,,,,,,,
270,KKR/TS/270,,,,,,,,,,,,
271,KKR/TS/271,,,,,,,,,,,,
272,KKR/TS/272,,,,,,,,,,,,
273,KKR/TS/273,,,,,,,,,,,,
274,KKR/TS/274,,,,,,,,,,,,
275,KKR/TS/275,,,,,,,,,,,,
276,KKR/TS/276,,,,,,,,,,,,
277,KKR/TS/277,,,,,,,,,,,,
278,KKR/TS/278,,,,,,,,,,,,
279,KKR/TS/279,,,,,,,,,,,,
280,KKR/TS/280,,,,,,,,,,,,
281,KKR/TS/281,,,,,,,,,,,,
282,KKR/TS/282,,,,,,,,,,,,
283,KKR/TS/283,,,,,,,,,,,,
284,KKR/TS/284,,,,,,,,,,,,
285,KKR/TS/285,,,,,,,,,,,,
286,KKR/TS/286,,,,,,,,,,,,
287,KKR/TS/287,,,,,,,,,,,,
288,KKR/TS/288,,,,,,,,,,,,
289,KKR/TS/289,,,,,,,,,,,,
290,KKR/TS/290,,,,,,,,,,,,
291,KKR/TS/291,,,,,,,,,,,,
292,KKR/TS/292,,,,,,,,,,,,
293,KKR/TS/293,,,,,,,,,,,,
294,KKR/TS/294,BAJAJ,MANISH,09/09/2023,,,,NA,,,,,
295,KKR/TS/295,,,,,,,,,,,,
296,KKR/TS/296,,,,,,,,,,,,
297,KKR/TS/297,,,,,,,,,,,,
298,KKR/TS/298,,,,,,,,,,,,
299,KKR/TS/299,,,,,,,,,,,,
300,KKR/TS/300,,,,,,,,,,,,
301,KKR/TS/301,USHA,MANISH ,27/04/2023,B/212,02/05/2023,,,,,,,
302,KKR/TS/302,ORIENT ,MANISH ,25/04/2023,,,,NA,,,,,
303,KKR/TS/303,ORIENT ,MANISH ,25/04/2023,,,,NA,,,,,
304,KKR/TS/304,BAJAJ ,MANISH ,25/04/2023,,,,NA,,,,,
305,KKR/TS/305,BAJAJ ,MANISH ,25/04/2023,MD/27,29/04/2023,,,,,,,
306,KKR/TS/306,ANCHOR ,,,,,,NA,,,,,
307,KKR/TS/307,GEC,,,,,,NA,,,,,
308,KKR/TS/308,GANESH ,MANISH ,24/04/2023,,,,NA,,,,,
309,KKR/TS/309,GANESH ,MANISH ,24/04/2023,MU/22,24/04/2023,26/07/2023,,,,,,
,,,MANISH ,27/07/2023,,,,,,,,,
310,KKR/TS/310,ORISON ,MANISH ,21/04/2023,B/126,22/04/2023,,,,,,,
311,KKR/TS/311,ORTEM ,MANISH ,21/04/2023,,,,"IT MAY BE CROMPTON,  NA",,,,,
,,CROMPTON,MANISH ,21/04/2023,,,,NA,,,,,
312,KKR/TS/312,ORISON ,MANISH ,21/04/2023,MH/28,22/04/2023,,,,,,,
,,,NEERAj,21/04/2024,,,,,,,,,
313,KKR/TS/313,ORISON ,MANISH ,,B/237,19/04/2023,,NA,,,,,
314,KKR/TS/314,BAJAJ ,MANISH ,,B/237,19/04/2023,,,,,,,
315,KKR/TS/315,ORISON ,MANISH ,,B/237,19/04/2023,,,,,,,
316,KKR/TS/316,BAJAJ ,MANISH ,09/10/2023,B/193,17/04/2023,08/05/2023,,,,,,
,,,,,MU/10,20/11/2023,,,,,,,
317,KKR/TS/317,ORISON ,MANISH ,19/04/2023,,,,NA,,,,,
,,,,,,,,,,,,,
318,KKR/TS/318,USHA ,,,,,,,,,,,
,,,MANISH ,18/04/2023,MJ/06,20/11/2023,,?,,,,,
,,ORISON,NEERAJ,20/01/2024,,,,?,,,,,
319,KKR/TS/319,ORISON ,MANISH ,18/04/2023,B/86,18/04/2023,05/04/2024,,,,,,
,,,,,,,,,,,,,
320,KKR/TS/320,ORISON ,MANISH ,05/04/2023,B/192,14/05/2023,02/08/2023,,,,,,
,,,MANISH ,06/08/2023,B/257,08/08/2023,,,,,,,
321,KKR/TS/321,ORISON ,MANISH ,02/04/2023,MG/25,23/02/2024,19/04/2024,,,,,,
,,,,,MH/40,14/05/2024,,,,,,,
322,KKR/TS/322,GANESH (B),MANISH ,01/04/2023,MH/09,03/04/2023,09/06/2023,,,,,,
,,,,,B/263,10/06/2023,25/08/2023,,,,,,
,,,MANISH ,10/06/2023,B/253,25/08/2023,26/08/2023,,,,,,
,,,MANISH ,15/10/2023,,,,,,,,,
323,KKR/TS/323,ORISON ,MANISH ,01/04/2023,,,,,,,,,
,,,MANISH ,07/12/2023,B/242,24/02/2024,,,,,,,
324,KKR/TS/324,GANESH ,MANISH ,01/04/2023,B/21,14/09/2023,,,,,,,
325,KKR/TS/325,USHA ,MANISH ,01/04/2023,,,,NA,,,,,
326,KKR/TS/326,USHA PRIMA,MANISH ,01/04/2023,,,,NA,,,,,
,,ORISON,NEERAJ SURAJ,21/01/2024,,,,NA,,,,,
,,GANESH,MANISH ,01/04/2023,B/143,15/07/2023,,,,,,,
327,KKR/TS/327,BAJAJ ,MANISH ,01/04/2023,B/267,01/05/2023,,,,,,,
328,KKR/TS/328,USHA PRIMA,MANISH ,01/04/2023,GMO,05/04/2023,,,,,,,
329,KKR/TS/329,USHA PRIMA,MANISH ,01/04/2023,ME/14,07/09/2023,,,,,,,
330,KKR/TS/330,USHA ,MANISH ,28/03/2023,,,,NA,,,,,
331,KKR/TS/331,BAJAJ KASSELS,MANISH ,27/03/2023,GMO,28/03/2023,,,,,,,
332,KKR/TS/332,CROMPTON ,MANISH ,27/03/2023,,,,NA,,,,,
333,KKR/TS/333,ZOLTA ,MANISH ,27/03/2023,,,,NA,,,,,
334,KKR/TS/334,ORISON ,MANISH ,27/03/2023,C/14,28/03/2023,,,,,,,
,,ZOLTA ,,,MP/34,26/07/2023,,,,,,,
335,KKR/TS/335,ORISON,MANISH ,27/03/2023,B/153,03/09/2023,,,,,,,
,,,,,GMO,28/03/2023,,,,,,,
336,KKR/TS/336,KHAITAN ,MANISH ,25/03/2023,,,,NA,,,,,
337,KKR/TS/337,KHAITAN ,MANISH ,25/03/2023,,,,NA,,,,,
338,KKR/TS/338,ZOLTA ,MANISH ,25/03/2023,,,,NA,,,,,
339,KKR/TS/339,ORISON ,MANISH ,25/03/2023,MD/18,25/03/2023,23/06/2023,,,,,,
,,,MANISH ,09/09/2023,MU/11,10/09/2023,,,,,,,
340,KKR/TS/340,USHA ,MANISH ,25/03/2023,MW/09,02/04/2023,31/08/2023,,,,,,
,,,MANISH ,14/10/2023,,,,,,,,,
341,KKR/TS/341,GANESH ,MANISH ,23/03/2023,C/53,25/03/2023,25/06/2023,,,,,,
,,,MANISH ,25/06/2023,,,,,,,,,
342,KKR/TS/342,GANESH ,MANISH ,23/03/2023,C/53,25/03/2023,,,,,,,
343,KKR/TS/343,ORISON ,MANISH ,23/03/2023,B/216,24/03/2023,,,,,,,
344,KKR/TS/344,GANESH (B),MANISH ,23/03/2023,C/53,25/03/2023,,,,,,,
,,,PAWAN,02/04/2024,,,,,,,,,
345,KKR/TS/345,ORIENT ,MANISH ,23/03/2023,MQ/11,24/03/2023,,,,,,,
346,KKR/TS/346,ORISON ,MANISH ,23/03/2023,,,,NA,,,,,
347,KKR/TS/347,GANESH ,MANISH ,23/03/2023,MF/02,08/04/2022,01/09/2023,,,,,,
,,GANESH ,,,ME/15,23/03/2023,,,,,,,
348,KKR/TS/348,GEC,MANISH ,22/03/2023,MU/22,22/03/2023,24/04/2023,,,,,,
,,ORISON ,MANISH ,04/12/2023,,,,,,,,,
,,,MANISH ,22/03/2023,MD/14,23/03/2023,01/10/2023,,,,,,
,,,,,MW/10,05/12/2023,,,,,,,
349,KKR/TS/349,GANESH ,MANISH ,22/03/2023,MD/13,23/03/2023,,,,,,,
,,GANESH ,,,B/309,26/03/2023,,,,,,,
350,KKR/TS/350,USHA ,MANISH ,19/03/2023,,,,NA,,,,,
351,KKR/TS/351,USHA ,MANISH ,19/03/2023,,,,NA,,,,,
352,KKR/TS/352,BAJAJ ,MANISH ,17/03/2023,MU/07,18/03/2023,,,,,,,
353,KKR/TS/353,GANESH ,MANISH ,17/03/2023,MU/07,18/03/2023,,,,,,,
354,KKR/TS/354,ORISON ,MANISH ,04/12/2023,,,,,,,,,
,,,MANISH ,17/03/2023,C/04,18/03/2023,,,,,,,
355,KKR/TS/355,GANESH ,MANISH ,,MC/09,16/03/2023,,,,,,,
356,KKR/TS/356,GANESH ,MANISH ,,B/98,10/04/2023,,,,,,,
357,KKR/TS/357,ORIENT ,MANISH ,15/03/2023,MG/26,27/07/2023,,,,,,,
358,KKR/TS/358,CROMPTON ,MANISH ,15/03/2023,B/316,06/08/2023,,,,,,,
359,KKR/TS/359,GANESH ,MANISH ,15/03/2023,MV/01,15/03/2023,,,,,,,
360,KKR/TS/360,GANESH ,MANISH ,15/03/2023,MB/20,15/03/2023,,,,,,,
361,KKR/TS/361,USHA ,MANISH ,14/03/2023,MQ/11,05/04/2023,,,,,,,
362,KKR/TS/362,GANESH ,MANISH ,14/03/2023,,,,NA,,,,,
363,KKR/TS/363,GANESH ,MANISH ,14/03/2023,,,,NA,,,,,
,,SANTOSH,,,B/299,24/07/2023,30/10/2023,,,,,,
,,,PAWAN,29/05/2024,,,,,,,,,
364,KKR/TS/364,USHA ,MANISH ,14/03/2023,B/111,14/03/2023,,,,,,,
,,ORISON,,,ME/31,10/04/2023,,,,,,,
365,KKR/TS/365,GANESH ,MANISH ,14/03/2023,,,,NA,,,,,
366,KKR/TS/366,BAJAJ ,MANISH ,13/03/2023,,,,NA,,,,,
,,ZOLTA,MANISH ,13/03/2023,B/188,18/05/2023,28/09/2023,,,,,,
,,,MANISH ,13/03/2023,,,,,,,,,
,,,MANISH ,10/12/2023,,,,,,,,,
,,,,,,,,,,,,,
367,KKR/TS/367,USHA ,MANISH ,13/03/2023,MV/22,20/04/2023,,,,,,,
368,KKR/TS/368,USHA (B),MANISH ,13/03/2023,,,,NA,,,,,
369,KKR/TS/369,ORISON ,BD,12/03/2023,,,,,,,,,
,,,MANISH ,04/04/2023,MF/09,18/05/2023,,,,,,,
370,KKR/TS/370,ORISON ,MANISH ,12/03/2023,MB/16,13/03/2023,,,,,,,
371,KKR/TS/371,ORISON ,BD,12/03/2023,,,,,,,,,
,,,MANISH ,07/04/2023,C/36,18/05/2023,,,,,,,
372,KKR/TS/372,ORISON ,MANISH ,12/03/2023,MQ/27,13/03/2023,,,,,,,
373,KKR/TS/373,ORISON ,MANISH ,12/03/2023,MD/14,23/03/2023,24/08/2023,,,,,,
,,,MANISH ,24/08/2023,,,,,,,,,
374,KKR/TS/374,KHAITAN ,MANISH ,11/03/2023,MV/30,11/03/2023,,,,,,,
375,KKR/TS/375,ORISON ,MANISH ,10/03/2023,MM/15,11/03/2023,16/04/2023,,,,,,
376,KKR/TS/376,ORISON ,MANISH ,10/03/2023,MV/01,15/03/2023,,,,,,,
377,KKR/TS/377,ORISON ,BD,,,,,,,,,,
,,,MANISH ,07/03/2023,MH/13,11/3/2023,,,,,,,
378,KKR/TS/378,ORISON ,MANISH ,10/03/2023,,,,NA,,,,,
379,KKR/TS/379,ORISON ,MANISH ,10/03/2023,B/88,27/03/2023,,,,,,,
380,KKR/TS/380,ORISON ,MANISH ,10/03/2023,B/304,11/03/2023,,,,,,,
381,KKR/TS/381,ORISON ,MANISH ,10/03/2023,MU/22,12/03/2023,,,,,,,
,,,MANISH ,15/06/2023,,,,,,,,,
382,KKR/TS/382,ORISON ,MANISH ,09/03/2023,MP/38,09/03/2023,,,,,,,
383,KKR/TS/383,ANCHOR ,MANISH ,02/03/2023,B/249,02/03/2023,16/05/2024,,,,,,
384,KKR/TS/384,ORISON ,MANISH ,02/03/2023,,,,NA,,,,,
,,,MANISH ,02/03/2023,,,,NA,,,,,
385,KKR/TS/385,ORISON ,,,B/238,18/02/2023,,,,,,,
,,ORISON ,,,B/153,04/03/2023,MN29/08/2023,,,,,,
,,,,,B/204,14/11/2023,,,,,,,
386,KKR/TS/386,ORISON ,,,B/238,18/02/2023,,NA,,,,,
,,,MANISH,02/03/2023,,,,,,,,,
387,KKR/TS/387,ORISON ,,,,,,,,,,,
,,,MANISH,01/03/2023,MW/19,11/03/2023,,,,,,,
388,KKR/TS/388,ORISON ,MANISH,16/02/2023,MV/11,19/02/2023,,,,,,,
,,,MANISH,01/03/2023,,,,,,,,,
,,,MANISH,09/10/2023,,,,,,,,,
,,ORISON ,,,B/182,10/10/2023,,,,,,,
,,ORISON ,,,MAIN GATE GUARD,05/03/2023,,,,,,,
389,KKR/TS/389,ORIENT ,MANISH,16/02/2023,MD/15,18/02/2023,23/03/2023,,,,,,
,,,MANISH,26/04/2023,,,,NA,,,,,
,,,MANISH,04/05/2023,,,,NA,,,,,
390,KKR/TS/390,GANESH (B),MANISH,12/02/2023,DAV, 13/02/2023,17/02/2023,,,,,,
,,,,,B/268,25/04/2023,14/06/2023,NA,,,,,
,,GANESH (B),,,MG/20,27/03/2023,24/04/2023,,,,,,
,,,,,MG/20,25/04/2023,,,,,,,
391,KKR/TS/391,GANESH ,RAHUL,01/04/2024,,,,,,,,,
,,,MANISH,12/02/2023,MP/31,13/02/2023,27/10/2023,,,,,,
392,KKR/TS/392,USHA (B),MANISH ,13/02/2023,B/201,14/02/2023,,,,,,,
393,KKR/TS/393,GEC,MANISH ,19/04/2023,B/311,19/04/2023,13/07/2023,,,,,,
394,KKR/TS/394,ORISON ,MADAN JHA,21/03/2023,KALI/M,03/04/2023,,,,,,,
,,,MANISH,02/04/2023,,,,,,,,,
,,ORIENT,MANISH,17/10/2023,MH/20,17/10/2023,,,,,,,
,,,,,,,,,,,,,
395,KKR/TS/395,ORISON ,MADAN JHA,21/03/2023,,,,,,,,,
,,,MANISH,02/04/2023,O/CLUB,03/04/2023,,,,,,,
396,KKR/TS/396,ORISON ,BD,,,,,,,,,,
,,,MANISH,02/04/2023,MH/35,23/05/2023,14/12/2023,,,,,,
,,,MANISH ,15/12/2023,MB/11,22/12/2023,,,,,,,
397,KKR/TS/397,BAJAJ ,BD,,,,,NA,,,,,
,,ZOLTA,MANISH,26/04/2023,,,,NA,,,,,
,,,,,,,,,,,,,
398,KKR/TS/398,ORISON ,MADAN JHA,21/03/2023,,,,,,,,,
,,,MANISH,02/04/2023,MB/23,03/04/2023,,,,,,,
399,KKR/TS/399,BADAL,MADAN JHA,21/03/2023,,,,,,,,,
,,,MANISH,02/04/2023,MH/09,03/04/2023,,,,,,,
400,KKR/TS/400,USHA ,,,B/137,12/02/2023,,,,,,,
401,KKR/TS/401,ZOLTA ,ok,,MW/39,13/02/2023,,,,,,,
402,KKR/TS/402,POLAR,MANISH ,10/02/2023,B/170,09/03/2023,08/03/2024,,,,,,
403,KKR/TS/403,ORISON ,MANISH ,09/02/2023,C/35,09/02/2023,,?,,,,,
,,,,,MC/39,22/03/2024,,?,,,,,
404,KKR/TS/404,ORISON ,MANISH,09/02/2023,C/36,9/2/2023,,,,,,,
405,KKR/TS/405,ORIENT ,MANISH ,09/02/2023,B/69,05/03/2023,13/04/2023,,,,,,
,,,MANISH,14/08/2023,,,,NA,,,,,
,,,MANISH,17/10/2023,,,,NA,,,,,
406,KKR/TS/406,ORISON ,MANISH ,08/02/2023,C/31,09/02/2023,,NA,,,,,
,,,MANISH,20/11/2023,MQ/23,15/12/2023,,,,,,,
407,KKR/TS/407,ORISON ,MANISH,04/02/2023,MB/30,05/02/2023,20/06/2023,,,,,,
,,,,,B/26,20/06/2023,,,,,,,
408,KKR/TS/408,USHA ,MANISH ,04/02/2023,,,,NA,,,,,
409,KKR/TS/409,ORIENT ,MANISH,01/02/2023,MV/30,02/02/2023,,,,,,,
410,KKR/TS/410,ORISON ,MANISH,01/02/2023,B/186,02/02/2023,,,,,,,
411,KKR/TS/411,ORISON ,MANISH,01/02/2023,B/186,02/02/2023,30/08/2023,,,,,,
,,,,,MW/09,31/08/2023,19/09/2023,,,,,,
,,,MANISH,07/12/2023,,,,NA,,,,,
,,,,,,,,,,,,,
412,KKR/TS/412,CROMPTON ,MANISH,31/01/2023,ML/37,20/02/2023,,,,,,,
413,KKR/TS/413,ORIENT ,MANISH,31/01/2023,,,,NA,,,,,
414,KKR/TS/414,ORTEM ,MANISH,30/01/2023,W/CLUB ,31/01/2023,,NA,,,,,
415,KKR/TS/415,ORTEM ,MANISH,30/01/2023,W/CLUB ,31/01/2023,,NA,,,,,
416,KKR/TS/416,ORISON ,MANISH,30/01/2023,MW/15,31/01/2023,07/08/2023,,,,,,
,,,MANISH,07/08/2023,,,,,,,,,
417,KKR/TS/417,ZOLTA ,MANISH,30/01/2023,ML/25,31/01/2023,,,,,,,
418,KKR/TS/418,ORISON ,,,MQ/08,29/01/2023,07/07/2023,,,,,,
419,KKR/TS/419,ORISON ,MANISH,24/10/2023,MQ/08,29/01/2023,,,,,,,
420,KKR/TS/420,GANESH ,MANISH,28/01/2023,MX/13,28/01/2023,,?,,,,,
,,GANESH ,,,B/284,26/03/2024,,?,,,,,
421,KKR/TS/421,ORISON ,,,B/155,30/01/2023,,,,,,,
422,KKR/TS/422,ORISON ,MANISH,27/01/2023,B/155,30/01/2023,,,,,,,
423,KKR/TS/423,ORISON ,MANISH,27/01/2023,B/155,30/01/2023,,,,,,,
424,KKR/TS/424,ORISON ,MANISH,27/01/2023,B/267,27/01/2023,,,,,,,
,,,,22/04/2024,,,,,,,,,
425,KKR/TS/425,BERLIA ,MANISH,27/01/2023,MU/25,27/01/2023,,,,,,,
426,KKR/TS/426,ORISON ,MANISH,25/01/2023,B/82,26/01/2023,08/04/2024,,,,,,
,,,MANISH,10/04/2024,,,,,,,,,
427,KKR/TS/427,ORISON ,COIL CUT/26022024,,MH/29,23/01/2023,25/02/2024,,,,,,
,,BAJAJ ,MANISH,21/01/2023,MW/15,18/01/2023,,,,,,,
428,KKR/TS/428,ORTEM ,,,MJ/23,14/01/2023,15/09/2023,,,,,,
,,,,,B/25,15/09/2023,,,,,,,
429,KKR/TS/429,GANESH ,,,MJ/23,14/01/2023,15/09/2023,,,,,,
,,,,,B/25,15/09/2023,,,,,,,
430,KKR/TS/430,ORTEM ,,,MJ/23,14/01/2023,15/09/2023,,,,,,
,,,,,B/25,15/09/2023,,,,,,,
431,KKR/TS/431,BERLIA ,MANISH ,MS SINGH ,,,,NA,,,,,
,,ORTEM,MANISH ,,MX/05,03/03/2023,,,,,,,
432,KKR/TS/432,ORISON ,MANISH ,09/01/2023,MI/26,22/02/2023,,,,,,,
433,KKR/TS/433,BAJAJ ,SUMIT,08/01/2023,MV/30,02/02/2023,,,,,,,
434,KKR/TS/434,ORISON ,,,D/02,08/01/2023,,,,,,,
,,,SUMIT,08/01/2023,D/02,09/01/2023,,,,,,,
435,KKR/TS/435,GANESH ,,,ML/12,26/01/2023,,,,,,,
436,KKR/TS/436,USHA ,OK FROM MF/01,,B/303,04/01/2023,,,,,,,
437,KKR/TS/437,ORIENT ,OK FROM MF/01,,MC/02,05/01/2023,31/07/2023,,,,,,
438,KKR/TS/438,CROMPTON ,OK FROM MF/01,,MV/19,04/01/2023,28/12/2023,,,,,,
439,KKR/TS/439,KHAITAN ,,,MX/35,31/01/2023,31/01/2023,,,,,,
,,,,,B/100,21/07/2023,,,,,,,
440,KKR/TS/440,BAJAJ ,,,MQ/22,27/01/2023,,,,,,,
441,KKR/TS/441,ORTEM ,,,,,,,,,,,
,,,MANISH,21/12/2022,MA/18,25/12/2022,,,,,,,
442,KKR/TS/442,ORISON ,MANISH,30/12/2022,MA/18,25/12/2022,,,,,,,
,,ORISON ,,,MV/19,30/12/2022,28/12/2023,,,,,,
,,ORISON ,,,MI/02,03/12/2022,05/10/2023,,,,,,
443,KKR/TS/443,USHA ,,,MB/11,22/12/2023,,,,,,,
,,ORISON ,,,MI/02,03/12/2023,26/02/2024,,,,,,
,,ORISON ,,,MB/28,02/01/2023,22/12/2023,,,,,,
,,,,,MH/29,26/02/204,,,,,,,
444,KKR/TS/444,KHAITAN ,,,MC/01,29/12/2022,,,,,,,
,,BAJAJ ,,,MI/02,03/12/2022,26/02/2024,,,,,,
,,,,,MB/25,24/03/2024,,,,,,,
445,KKR/TS/445,BAJAJ ,,,MJ/18,13/12/2018,,,,,,,
446,KKR/TS/446,ORISON ,,,B/251,9/12/2022,,,,,,,
447,KKR/TS/447,CANON,BD,,,,,,,,,,
,,,MANISH,12/09/2023,B/225,13/09/2023,,,,,,,
