SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
46,KKR/TS/46,ORISON,MADAN JHA,,MJ/03,10/08/2022,05/09/2022,,MW/21,,05/09/2022,,02/12/2022
,,,MANISH,05/12/2022,,,,,,,,,
47,KKR/TS/47,ORISON,MADAN JHA,12/04/2022,MA/5,15/04/2022,,,,,,,
48,KKR/TS/48,ORISON,PAWAN,11/03/2024,C/31,13-04/2022,,,,,,,
49,KKR/TS/49,ORISON,MADAN JHA,12/04/2022,MV/21,15/04/2022,26/012023,FAILED ,21/03/2023,,,,
,,,,,O/CLUB D/H,03/04/2023,,,,,,,
50,KKR/TS/50,ORISON,MADAN JHA,12/04/2022,MV/21,15/04/2022,15/05/2022,,,,,,
,,,,,ME/10,01/08/2023,,,,,,,
51,KKR/TS/51,ORISON,MADAN JHA,14/04/2022,B/243,25/04/2022,,,,,,,
,,ORISON,,,O/CLUB,15/05/2022,,,,,,,
52,KKR/TS/52,ORISON,MADAN JHA,18/04/2022,MD/30,15/05/2022,25/06/2022,,,,,,
,,,MANISH,29/07/2023,,,,,,,,,
,,USHA,,,MW/25,25/04/2022,,,,,,,
53,KKR/TS/53,BAJAJ,MADAN JHA,18/04/2022,O/CLUB,15/05/2022,,,,,,,
,,ORIENT,MADAN JHA,,MW/25,25/04/2022,,,,,,,
54,KKR/TS/54,USHA,MADAN JHA,18/04/2022,O/CLUB,15/05/2022,,U/W FAILED,,,28/09/2022,,
,,,MANISH,25/10/2022,B/194,22/03/2023,,,,,,,
55,KKR/TS/55,ORISON,MADAN JHA,02/06/2022,D/02,14/06/2022,,NA,,,,,
56,KKR/TS/56,USHA,MADAN JHA,22/04/2022,C/51,18/08/2022,,,,,,,
57,KKR/TS/57,ORISON,MADAN JHA,02/06/2022,MB/37,12/06/2022,05/08/2022,,,,,,
,,,,,MG/14,06/09/2022,,,,,,,
58,KKR/TS/58,ORISON,MADAN JHA,21/05/2022,B/157,14/10/2022,,,,,02/12/2022,,
,,,MANISH,07/12/2022,C/35,12/12/2022,15/05/2023,,,,,,
,,ORISON,,,B/211,18/09/2019,05/09/2023,,,,,,
,,,,,,,,,,,,,
59,KKR/TS/59,ORISON,MADAN JHA,02/06/2022,,,,,,,,,
,,,MANISH,28/10/2023,MD/14,21/02/2024,,,,,,,
60,KKR/TS/60,ORISON,MADAN JHA,21/05/2022,MI/10,11/06/2022,,,,,,,
,,,,,B/99,19/07/2022,06/04/2024,,,,,,
,,,,,B/50,06/04/2024,,,,,,,
61,KKR/TS/61,ORISON,MADAN JHA,02/05/2022,O/CLUB,15/05/2022,,NA,,,,,
62,KKR/TS/62,ORISON,MADAN JHA,02/06/2022,MB/37,12/06/2022,09/05/2023,,,,,,
,,,,,,,,,,,,,
63,KKR/TS/63,ORISON,MADAN JHA,02/06/2022,MI/10,13/06/2022,18/06/2022,,,,,,
,,,,,B/191,19/07/2022,,,,,,,
,,,MANISH,05/11/2023,MV/35,07/11/2023,,,,,,,
64,KKR/TS/64,ORISON,MADAN JHA,02/05/2022,O/CLUB,15/05/2022,,FAILED /NA,,,21/03/2023,,
,,,MANISH,02/04/2023,,,,,,,,,
65,KKR/TS/65,ORISON,MADAN JHA,21/05/2022,MV/05,14/06/2022,,,,,,,
66,KKR/TS/66,ORISON,MADAN JHA,21/05/2022,B/113,19/06/2022,,,,,,,
67,KKR/TS/67,ORISON,MADAN JHA,02/05/2022,O/CLUB,15/05/2022,,U/W FAILED ,,,28/09/2022,,
,,,MANISH,26/09/2023,MP/03,28/09/2023,,,,,,,
68,KKR/TS/68,ORISON,MADAN JHA,02/06/2022,B/47,19/06/2022,17/07/2023,,,,,,
,,,MANISH,27/07/2023,,,,,,,,,
69,KKR/TS/69,ORISON,MADAN JHA,21/05/2022,B/113,19/06/2022,13/08/2022,,,,,,
,,,MANISH,14/08/2022,B/264,14/08/2022,27/05/2023,,,,,,
,,,MANISH,27/05/2023,MV/12,29/07/2023,,,,,,,
70,KKR/TS/70,ORISON,MADAN JHA,02/06/2022,B/82,19/06/2022,,,,,,,
71,KKR/TS/71,ORISON,MADAN JHA,02/05/2022,O/CLUB,15/05/2022,,NA,,,,,
72,KKR/TS/72,ORISON,MADAN JHA,02/05/2022,O/CLUB,15/05/2022,,NA,,,,,
73,KKR/TS/73,ORISON,MADAN JHA,21/05/2022,B/267,14/06/2022,03/05/2023,,,,,,
,,,MANISH,03/05/2023,,,,,,,,,
74,KKR/TS/74,ORIENT,,15/06/2022,,,,NA,,,,,
75,KKR/TS/75,BAJAJ,,,,,,NA,,,,,
76,KKR/TS/76,ORISON,,15/09/2022,B/124,07/10/2022,17/03/2024,,,,,,
,,,MANISH,05/11/2023,,,,?,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
77,KKR/TS/77,GANESH,,,,,,NA,,,,,
78,KKR/TS/78,GEC,,,,,,NA,,,,,
79,KKR/TS/79,BAJAJ,MANISH ,15/09/2022,B/158,07/03/2023,,,,,,,
80,KKR/TS/80,USHA,MANISH ,01/07/2023,,,,NA,,,,,
81,KKR/TS/81,ZOLTA,,,,,,NA,,,02/12/2022,,
82,KKR/TS/82,GANESH,,,,,,NA,,,,,
83,KKR/TS/83,BAJAJ,,,MV/06,18/04/2022,31/03/2023,,,,,,
,,,,,,,,,,,,,
84,KKR/TS/84,ORIENT,,,,,,NA,,,,,
85,KKR/TS/85,ORIENT,,,,,,NA,,,,,
86,KKR/TS/86,ORIENT,,,,,,NA,,,,,
87,KKR/TS/87,ZOLTA,,,,,,NA,,,,,
88,KKR/TS/88,USHA,,,,,,NA,,,,,
89,KKR/TS/89,GANESH,MADAN JHA,21/03/2023,,,,NA,,,,,
90,KKR/TS/90,GANESH,,,,,,NA,,,,,
91,KKR/TS/91,GEC,,,,,,NA,,,,,
92,KKR/TS/92,ORIENT,,,,,,NA,,,,,
93,KKR/TS/93,GANESH,,,,,,NA,,,,,
94,KKR/TS/94,GEC GOLDLINE,,,,,,NA,,,,,
95,KKR/TS/95,ORISON,,10/09/2022,MC/20,10/09/2022,,,,,,,
96,KKR/TS/96,ORISON,,10/09/2022,MH/29,10/09/2022,,,,,,,
97,KKR/TS/97,GANESH,,,,,,NA,,,,,
98,KKR/TS/98,ORISON,,10/09/2022,B/113,10/09/2022,20/09/2022,,,,,,
,,,,,B/86,13/10/2022,26/07/2023,,,,,,
,,,MANISH,27/07/2023,,,,,,,,,
,,,MANISH,07/10/2023,B/314,07/10/2023,,,,,,,
99,KKR/TS/99,ORISON,,10/09/2022,MC/20,10/09/2022,,,,,,,
,,,,,,,,,,,,,
100,KKR/TS/100,ORISON,,28/08/2022,B/201,11/09/2022,18/09/2023,,,,,,
,,,MANISH,01/10/2023,,,,,,,,,
101,KKR/TS/101,ORISON,MADAN JHA,15/09/2022,,,,NA,,,,,
102,KKR/TS/102,BAJAJ,,15/09/2022,MW/06,06/10/2022,,,,,,,
,,,MANISH,11/09/2023,,,,?,,,,,
103,KKR/TS/103,ORISON,,15/09/2022,B/306,07/10/2022,,,,,,,
104,KKR/TS/104,ORISON,,15/09/2022,MH/10,09/10/2022,,,,,,,
